Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2015-01,-3.09,-0.93,-3.45,1.58,-1.64,0.0
2015-02,6.14,0.36,-1.79,-1.1,-1.75,0.0
2015-03,-1.09,3.08,-0.38,0.07,-0.62,0.0
2015-04,0.6,-3.01,1.8,0.05,-0.62,0.0
2015-05,1.38,0.82,-1.11,-1.76,-0.83,0.0
2015-06,-1.54,2.9,-0.82,0.35,-1.54,0.0
2015-07,1.57,-4.58,-4.16,0.31,-2.44,0.0
2015-08,-6.02,0.29,2.75,0.66,1.29,0.0
2015-09,-3.06,-2.8,0.55,1.8,-0.59,0.0
2015-10,7.75,-2.06,-0.47,0.95,0.61,0.0
2015-11,0.57,3.3,-0.43,-2.65,-1.06,0.0
2015-12,-2.15,-2.95,-2.57,0.34,0.12,0.01
2016-01,-5.74,-3.44,2.08,2.78,3.05,0.01
2016-02,-0.07,0.87,-0.61,3.31,1.94,0.02
2016-03,6.95,1.0,1.22,0.68,0.01,0.02
2016-04,0.91,1.23,3.22,-2.85,1.77,0.01
2016-05,1.78,-0.62,-1.62,-1.1,-2.54,0.01
2016-06,-0.03,0.42,-1.49,1.45,1.9,0.02
2016-07,3.94,2.47,-1.24,1.31,-1.16,0.02
2016-08,0.49,1.66,3.17,-1.85,-0.36,0.02
2016-09,0.27,1.81,-1.19,-2.18,0.03,0.02
2016-10,-2.01,-4.02,4.11,0.99,0.25,0.02
2016-11,4.85,6.96,8.29,-0.24,3.71,0.01
2016-12,1.81,0.44,3.47,1.24,-0.32,0.03
2017-01,1.94,-1.44,-2.76,-0.51,-1.06,0.04
2017-02,3.55,-2.3,-1.5,0.45,-1.8,0.04
2017-03,0.17,0.75,-3.33,0.63,-0.95,0.03
2017-04,1.08,0.41,-2.05,1.79,-1.6,0.05
2017-05,1.07,-2.99,-3.82,0.99,-1.66,0.06
2017-06,0.78,2.52,1.5,-2.26,0.04,0.06
2017-07,1.88,-1.64,-0.23,-0.75,-0.15,0.07
2017-08,0.18,-1.83,-2.13,0.2,-2.38,0.09
2017-09,2.49,4.76,3.15,-1.54,1.63,0.09
2017-10,2.25,-1.91,0.13,0.92,-3.14,0.09
2017-11,3.12,-0.38,-0.09,3.19,-0.1,0.08
2017-12,1.06,-1.05,0.05,0.73,1.79,0.09
2018-01,5.58,-3.21,-1.32,-0.75,-1.05,0.11
2018-02,-3.64,0.34,-1.1,0.53,-2.36,0.11
2018-03,-2.35,3.61,-0.21,-0.41,0.08,0.12
2018-04,0.29,0.89,0.53,-2.42,1.24,0.14
2018-05,2.63,4.71,-3.14,-1.98,-1.49,0.14
2018-06,0.49,0.77,-2.33,0.83,0.2,0.14
2018-07,3.2,-1.93,0.49,1.53,0.31,0.16
2018-08,3.46,0.65,-3.91,-0.29,-2.57,0.16
2018-09,0.06,-2.49,-1.62,0.65,1.36,0.15
2018-10,-7.64,-4.38,3.38,1.03,3.6,0.19
2018-11,1.71,-0.81,0.36,-0.61,0.4,0.18
2018-12,-9.55,-2.81,-1.92,-0.03,0.24,0.19
2019-01,8.36,2.91,-0.39,-0.73,-1.65,0.21
2019-02,3.42,1.72,-2.66,0.16,-1.54,0.18
2019-03,1.1,-3.52,-4.14,0.88,-0.9,0.19
2019-04,3.97,-1.15,2.13,1.61,-2.18,0.21
2019-05,-6.92,-1.56,-2.45,-0.48,1.76,0.21
2019-06,6.92,0.37,-0.64,0.89,-0.42,0.18
2019-07,1.22,-1.82,0.5,-0.13,0.37,0.19
2019-08,-2.55,-3.25,-4.77,0.53,-0.62,0.16
2019-09,1.42,0.29,6.76,1.82,3.38,0.18
2019-10,2.07,0.25,-1.92,0.43,-1.03,0.15
2019-11,3.87,0.39,-2.0,-1.64,-1.14,0.12
2019-12,2.76,0.99,1.73,0.05,1.19,0.14
2020-01,-0.09,-4.37,-6.22,-1.19,-2.19,0.13
2020-02,-8.15,0.08,-3.82,-1.43,-2.53,0.12
2020-03,-13.35,-8.18,-13.83,-1.61,1.19,0.12
2020-04,13.58,2.57,-1.34,2.76,-1.02,0.0
2020-05,5.59,1.92,-5.0,0.96,-3.16,0.01
2020-06,2.44,1.95,-2.17,0.14,0.55,0.01
2020-07,5.83,-3.19,-1.44,0.38,0.97,0.01
2020-08,7.62,-0.89,-3.02,4.27,-1.51,0.01
2020-09,-3.64,-0.01,-2.72,-1.38,-1.93,0.01
2020-10,-2.08,4.67,4.25,-0.77,-0.57,0.01
2020-11,12.44,7.12,2.09,-2.25,1.28,0.01
2020-12,4.63,4.93,-1.68,-1.97,-0.06,0.01
2021-01,-0.07,6.81,3.22,-3.65,4.97,0.0
2021-02,2.81,4.5,7.2,0.33,-1.99,0.0
2021-03,3.16,-0.84,7.35,6.35,3.52,0.0
2021-04,4.97,-3.16,-1.02,2.43,-2.72,0.0
2021-05,0.29,1.27,7.04,2.34,3.01,0.0
2021-06,2.73,-0.3,-7.86,-2.14,-0.93,0.0
2021-07,1.34,-4.55,-1.79,5.5,-0.59,0.0
2021-08,2.95,-0.66,-0.23,-0.26,-1.72,0.0
2021-09,-4.4,1.12,5.12,-1.92,2.0,0.0
2021-10,6.63,-2.7,-0.53,1.71,-1.54,0.0
2021-11,-1.58,-1.7,-0.37,7.19,1.7,0.0
2021-12,3.24,-0.78,3.26,4.88,4.29,0.01
2022-01,-6.15,-4.01,12.86,0.77,7.73,0.0
2022-02,-2.28,2.86,3.06,-2.03,3.03,0.0
2022-03,3.08,-2.11,-1.9,-1.5,3.21,0.0
2022-04,-9.41,-0.35,6.18,3.41,5.92,0.0
2022-05,-0.33,-0.03,8.44,1.55,3.95,0.03
2022-06,-8.4,1.33,-6.0,1.76,-4.58,0.06
2022-07,9.57,1.78,-4.15,0.77,-6.85,0.08
2022-08,-3.77,1.49,0.18,-4.78,1.32,0.19
2022-09,-9.34,-0.97,0.03,-1.37,-0.77,0.19
2022-10,7.86,1.81,7.97,3.27,6.43,0.23
2022-11,4.69,-2.75,1.48,6.3,3.15,0.29
2022-12,-6.38,-0.19,1.34,0.32,4.28,0.33
